date,serum,virus,replicate,concentration,fraction infectivity
2025-07-24,Nirsevimab IgG,RSV Long 1,1,6.667,7.905e-05
2025-07-24,Nirsevimab IgG,RSV Long 1,1,1.905,7.087e-05
2025-07-24,Nirsevimab IgG,RSV Long 1,1,0.5442,0.0001008
2025-07-24,Nirsevimab IgG,RSV Long 1,1,0.1555,0.000423
2025-07-24,Nirsevimab IgG,RSV Long 1,1,0.04443,0.0568
2025-07-24,Nirsevimab IgG,RSV Long 1,1,0.01269,0.4285
2025-07-24,Nirsevimab IgG,RSV Long 1,1,0.003627,0.7987
2025-07-24,Nirsevimab IgG,RSV Long 1,1,0.001036,0.7692
2025-07-24,Nirsevimab IgG,RSV Long 1,1,0.0002961,0.9084
2025-07-24,Nirsevimab IgG,RSV Long 1,2,6.667,0.0001519
2025-07-24,Nirsevimab IgG,RSV Long 1,2,1.905,9.392e-05
2025-07-24,Nirsevimab IgG,RSV Long 1,2,0.5442,8.096e-05
2025-07-24,Nirsevimab IgG,RSV Long 1,2,0.1555,0.0003438
2025-07-24,Nirsevimab IgG,RSV Long 1,2,0.04443,0.01886
2025-07-24,Nirsevimab IgG,RSV Long 1,2,0.01269,0.5622
2025-07-24,Nirsevimab IgG,RSV Long 1,2,0.003627,0.9168
2025-07-24,Nirsevimab IgG,RSV Long 1,2,0.001036,0.6873
2025-07-24,Nirsevimab IgG,RSV Long 1,2,0.0002961,0.9192
2025-07-24,Nirsevimab Fab,RSV Long 1,1,500,7.748e-05
2025-07-24,Nirsevimab Fab,RSV Long 1,1,100,0.0001162
2025-07-24,Nirsevimab Fab,RSV Long 1,1,20,9.438e-05
2025-07-24,Nirsevimab Fab,RSV Long 1,1,4,0.0002438
2025-07-24,Nirsevimab Fab,RSV Long 1,1,0.8,0.0003428
2025-07-24,Nirsevimab Fab,RSV Long 1,1,0.16,0.006521
2025-07-24,Nirsevimab Fab,RSV Long 1,1,0.032,0.2956
2025-07-24,Nirsevimab Fab,RSV Long 1,1,0.0064,0.7464
2025-07-24,Nirsevimab Fab,RSV Long 1,1,0.00128,0.7762
2025-07-24,Nirsevimab Fab,RSV Long 1,2,500,7.217e-05
2025-07-24,Nirsevimab Fab,RSV Long 1,2,100,0.0001261
2025-07-24,Nirsevimab Fab,RSV Long 1,2,20,8.609e-05
2025-07-24,Nirsevimab Fab,RSV Long 1,2,4,0.0002717
2025-07-24,Nirsevimab Fab,RSV Long 1,2,0.8,0.000354
2025-07-24,Nirsevimab Fab,RSV Long 1,2,0.16,0.01716
2025-07-24,Nirsevimab Fab,RSV Long 1,2,0.032,0.5605
2025-07-24,Nirsevimab Fab,RSV Long 1,2,0.0064,0.828
2025-07-24,Nirsevimab Fab,RSV Long 1,2,0.00128,0.9335
2025-07-24,Nirsevimab IgG,RSV B1 1,1,6.667,4.305e-05
2025-07-24,Nirsevimab IgG,RSV B1 1,1,1.905,0.0001399
2025-07-24,Nirsevimab IgG,RSV B1 1,1,0.5442,0.0002931
2025-07-24,Nirsevimab IgG,RSV B1 1,1,0.1555,0.08181
2025-07-24,Nirsevimab IgG,RSV B1 1,1,0.04443,0.3737
2025-07-24,Nirsevimab IgG,RSV B1 1,1,0.01269,0.6104
2025-07-24,Nirsevimab IgG,RSV B1 1,1,0.003627,0.857
2025-07-24,Nirsevimab IgG,RSV B1 1,1,0.001036,0.9126
2025-07-24,Nirsevimab IgG,RSV B1 1,1,0.0002961,1.037
2025-07-24,Nirsevimab IgG,RSV B1 1,2,6.667,0.0001782
2025-07-24,Nirsevimab IgG,RSV B1 1,2,1.905,0.0001124
2025-07-24,Nirsevimab IgG,RSV B1 1,2,0.5442,0.0001793
2025-07-24,Nirsevimab IgG,RSV B1 1,2,0.1555,0.0419
2025-07-24,Nirsevimab IgG,RSV B1 1,2,0.04443,0.4794
2025-07-24,Nirsevimab IgG,RSV B1 1,2,0.01269,0.5777
2025-07-24,Nirsevimab IgG,RSV B1 1,2,0.003627,0.8784
2025-07-24,Nirsevimab IgG,RSV B1 1,2,0.001036,1.13
2025-07-24,Nirsevimab IgG,RSV B1 1,2,0.0002961,0.8469
2025-07-24,Nirsevimab Fab,RSV B1 1,1,500,0.0002332
2025-07-24,Nirsevimab Fab,RSV B1 1,1,100,0.02238
2025-07-24,Nirsevimab Fab,RSV B1 1,1,20,0.163
2025-07-24,Nirsevimab Fab,RSV B1 1,1,4,0.4718
2025-07-24,Nirsevimab Fab,RSV B1 1,1,0.8,0.829
2025-07-24,Nirsevimab Fab,RSV B1 1,1,0.16,0.8919
2025-07-24,Nirsevimab Fab,RSV B1 1,1,0.032,0.9566
2025-07-24,Nirsevimab Fab,RSV B1 1,1,0.0064,0.964
2025-07-24,Nirsevimab Fab,RSV B1 1,1,0.00128,0.9847
2025-07-24,Nirsevimab Fab,RSV B1 1,2,500,0.0001582
2025-07-24,Nirsevimab Fab,RSV B1 1,2,100,0.0472
2025-07-24,Nirsevimab Fab,RSV B1 1,2,20,0.09982
2025-07-24,Nirsevimab Fab,RSV B1 1,2,4,0.3301
2025-07-24,Nirsevimab Fab,RSV B1 1,2,0.8,0.8192
2025-07-24,Nirsevimab Fab,RSV B1 1,2,0.16,0.8845
2025-07-24,Nirsevimab Fab,RSV B1 1,2,0.032,1.116
2025-07-24,Nirsevimab Fab,RSV B1 1,2,0.0064,0.9432
2025-07-24,Nirsevimab Fab,RSV B1 1,2,0.00128,0.9249
2025-07-24,Nirsevimab IgG,RSV A2020 1,1,6.667,0.00107
2025-07-24,Nirsevimab IgG,RSV A2020 1,1,1.905,0.001587
2025-07-24,Nirsevimab IgG,RSV A2020 1,1,0.5442,0.0009281
2025-07-24,Nirsevimab IgG,RSV A2020 1,1,0.1555,0.02914
2025-07-24,Nirsevimab IgG,RSV A2020 1,1,0.04443,0.472
2025-07-24,Nirsevimab IgG,RSV A2020 1,1,0.01269,0.7262
2025-07-24,Nirsevimab IgG,RSV A2020 1,1,0.003627,0.8896
2025-07-24,Nirsevimab IgG,RSV A2020 1,1,0.001036,0.813
2025-07-24,Nirsevimab IgG,RSV A2020 1,1,0.0002961,0.976
2025-07-24,Nirsevimab IgG,RSV A2020 1,2,6.667,8.42e-05
2025-07-24,Nirsevimab IgG,RSV A2020 1,2,1.905,0.001998
2025-07-24,Nirsevimab IgG,RSV A2020 1,2,0.5442,0.0003673
2025-07-24,Nirsevimab IgG,RSV A2020 1,2,0.1555,0.009885
2025-07-24,Nirsevimab IgG,RSV A2020 1,2,0.04443,0.418
2025-07-24,Nirsevimab IgG,RSV A2020 1,2,0.01269,0.8042
2025-07-24,Nirsevimab IgG,RSV A2020 1,2,0.003627,0.8123
2025-07-24,Nirsevimab IgG,RSV A2020 1,2,0.001036,0.9571
2025-07-24,Nirsevimab IgG,RSV A2020 1,2,0.0002961,0.9622
2025-07-24,Nirsevimab Fab,RSV A2020 1,1,500,0.0001742
2025-07-24,Nirsevimab Fab,RSV A2020 1,1,100,0.0003065
2025-07-24,Nirsevimab Fab,RSV A2020 1,1,20,0.00642
2025-07-24,Nirsevimab Fab,RSV A2020 1,1,4,0.001043
2025-07-24,Nirsevimab Fab,RSV A2020 1,1,0.8,0.0008533
2025-07-24,Nirsevimab Fab,RSV A2020 1,1,0.16,0.08095
2025-07-24,Nirsevimab Fab,RSV A2020 1,1,0.032,0.6358
2025-07-24,Nirsevimab Fab,RSV A2020 1,1,0.0064,0.8675
2025-07-24,Nirsevimab Fab,RSV A2020 1,1,0.00128,1.029
2025-07-24,Nirsevimab Fab,RSV A2020 1,2,500,0.000182
2025-07-24,Nirsevimab Fab,RSV A2020 1,2,100,0.0001876
2025-07-24,Nirsevimab Fab,RSV A2020 1,2,20,0.0007377
2025-07-24,Nirsevimab Fab,RSV A2020 1,2,4,0.0004051
2025-07-24,Nirsevimab Fab,RSV A2020 1,2,0.8,0.005658
2025-07-24,Nirsevimab Fab,RSV A2020 1,2,0.16,0.05516
2025-07-24,Nirsevimab Fab,RSV A2020 1,2,0.032,0.5392
2025-07-24,Nirsevimab Fab,RSV A2020 1,2,0.0064,0.9114
2025-07-24,Nirsevimab Fab,RSV A2020 1,2,0.00128,0.9925
2025-07-24,Nirsevimab IgG,RSV B2024 1,1,6.667,0.007006
2025-07-24,Nirsevimab IgG,RSV B2024 1,1,1.905,0.01416
2025-07-24,Nirsevimab IgG,RSV B2024 1,1,0.5442,0.003856
2025-07-24,Nirsevimab IgG,RSV B2024 1,1,0.1555,0.007544
2025-07-24,Nirsevimab IgG,RSV B2024 1,1,0.04443,0.236
2025-07-24,Nirsevimab IgG,RSV B2024 1,1,0.01269,0.6636
2025-07-24,Nirsevimab IgG,RSV B2024 1,1,0.003627,0.8663
2025-07-24,Nirsevimab IgG,RSV B2024 1,1,0.001036,0.9533
2025-07-24,Nirsevimab IgG,RSV B2024 1,1,0.0002961,1.008
2025-07-24,Nirsevimab IgG,RSV B2024 1,2,6.667,0.008137
2025-07-24,Nirsevimab IgG,RSV B2024 1,2,1.905,0.007599
2025-07-24,Nirsevimab IgG,RSV B2024 1,2,0.5442,0.01055
2025-07-24,Nirsevimab IgG,RSV B2024 1,2,0.1555,0.01933
2025-07-24,Nirsevimab IgG,RSV B2024 1,2,0.04443,0.3001
2025-07-24,Nirsevimab IgG,RSV B2024 1,2,0.01269,0.6944
2025-07-24,Nirsevimab IgG,RSV B2024 1,2,0.003627,0.8835
2025-07-24,Nirsevimab IgG,RSV B2024 1,2,0.001036,0.9829
2025-07-24,Nirsevimab IgG,RSV B2024 1,2,0.0002961,0.9162
2025-07-24,Nirsevimab Fab,RSV B2024 1,1,500,0.008977
2025-07-24,Nirsevimab Fab,RSV B2024 1,1,100,0.007548
2025-07-24,Nirsevimab Fab,RSV B2024 1,1,20,0.03116
2025-07-24,Nirsevimab Fab,RSV B2024 1,1,4,0.2925
2025-07-24,Nirsevimab Fab,RSV B2024 1,1,0.8,0.7249
2025-07-24,Nirsevimab Fab,RSV B2024 1,1,0.16,1.044
2025-07-24,Nirsevimab Fab,RSV B2024 1,1,0.032,1.106
2025-07-24,Nirsevimab Fab,RSV B2024 1,1,0.0064,1.137
2025-07-24,Nirsevimab Fab,RSV B2024 1,1,0.00128,1.213
2025-07-24,Nirsevimab Fab,RSV B2024 1,2,500,0.01318
2025-07-24,Nirsevimab Fab,RSV B2024 1,2,100,0.005391
2025-07-24,Nirsevimab Fab,RSV B2024 1,2,20,0.02729
2025-07-24,Nirsevimab Fab,RSV B2024 1,2,4,0.2892
2025-07-24,Nirsevimab Fab,RSV B2024 1,2,0.8,0.7159
2025-07-24,Nirsevimab Fab,RSV B2024 1,2,0.16,0.9713
2025-07-24,Nirsevimab Fab,RSV B2024 1,2,0.032,1.064
2025-07-24,Nirsevimab Fab,RSV B2024 1,2,0.0064,1.118
2025-07-24,Nirsevimab Fab,RSV B2024 1,2,0.00128,1.196
2025-07-24,Clesrovimab IgG,RSV Long 2,1,6.667,7.556e-05
2025-07-24,Clesrovimab IgG,RSV Long 2,1,1.905,0.0001485
