date,serum,virus,replicate,concentration,fraction infectivity
2025-07-24,Clesrovimab IgG,RSV Long 2,1,0.5442,0.000108
2025-07-24,Clesrovimab IgG,RSV Long 2,1,0.1555,0.0003717
2025-07-24,Clesrovimab IgG,RSV Long 2,1,0.04443,0.001748
2025-07-24,Clesrovimab IgG,RSV Long 2,1,0.01269,0.03396
2025-07-24,Clesrovimab IgG,RSV Long 2,1,0.003627,0.14
2025-07-24,Clesrovimab IgG,RSV Long 2,1,0.001036,0.7522
2025-07-24,Clesrovimab IgG,RSV Long 2,1,0.0002961,0.8834
2025-07-24,Clesrovimab IgG,RSV Long 2,2,6.667,5.173e-05
2025-07-24,Clesrovimab IgG,RSV Long 2,2,1.905,6.678e-05
2025-07-24,Clesrovimab IgG,RSV Long 2,2,0.5442,0.0001157
2025-07-24,Clesrovimab IgG,RSV Long 2,2,0.1555,0.0002955
2025-07-24,Clesrovimab IgG,RSV Long 2,2,0.04443,0.0009152
2025-07-24,Clesrovimab IgG,RSV Long 2,2,0.01269,0.02074
2025-07-24,Clesrovimab IgG,RSV Long 2,2,0.003627,0.2109
2025-07-24,Clesrovimab IgG,RSV Long 2,2,0.001036,0.562
2025-07-24,Clesrovimab IgG,RSV Long 2,2,0.0002961,0.7618
2025-07-24,Clesrovimab Fab,RSV Long 2,1,500,0.0001483
2025-07-24,Clesrovimab Fab,RSV Long 2,1,100,0.0001147
2025-07-24,Clesrovimab Fab,RSV Long 2,1,20,8.72e-05
2025-07-24,Clesrovimab Fab,RSV Long 2,1,4,0.0002366
2025-07-24,Clesrovimab Fab,RSV Long 2,1,0.8,0.0003438
2025-07-24,Clesrovimab Fab,RSV Long 2,1,0.16,0.006869
2025-07-24,Clesrovimab Fab,RSV Long 2,1,0.032,0.2974
2025-07-24,Clesrovimab Fab,RSV Long 2,1,0.0064,1.028
2025-07-24,Clesrovimab Fab,RSV Long 2,1,0.00128,0.7881
2025-07-24,Clesrovimab Fab,RSV Long 2,2,500,0.0001263
2025-07-24,Clesrovimab Fab,RSV Long 2,2,100,0.0007353
2025-07-24,Clesrovimab Fab,RSV Long 2,2,20,0.000155
2025-07-24,Clesrovimab Fab,RSV Long 2,2,4,0.0001477
2025-07-24,Clesrovimab Fab,RSV Long 2,2,0.8,0.0003522
2025-07-24,Clesrovimab Fab,RSV Long 2,2,0.16,0.0132
2025-07-24,Clesrovimab Fab,RSV Long 2,2,0.032,0.2025
2025-07-24,Clesrovimab Fab,RSV Long 2,2,0.0064,0.7461
2025-07-24,Clesrovimab Fab,RSV Long 2,2,0.00128,1.107
2025-07-24,Clesrovimab IgG,RSV B1 2,1,6.667,0.001786
2025-07-24,Clesrovimab IgG,RSV B1 2,1,1.905,0.0001073
2025-07-24,Clesrovimab IgG,RSV B1 2,1,0.5442,0.0002324
2025-07-24,Clesrovimab IgG,RSV B1 2,1,0.1555,0.000591
2025-07-24,Clesrovimab IgG,RSV B1 2,1,0.04443,0.002454
2025-07-24,Clesrovimab IgG,RSV B1 2,1,0.01269,0.1323
2025-07-24,Clesrovimab IgG,RSV B1 2,1,0.003627,0.4
2025-07-24,Clesrovimab IgG,RSV B1 2,1,0.001036,0.8168
2025-07-24,Clesrovimab IgG,RSV B1 2,1,0.0002961,0.9749
2025-07-24,Clesrovimab IgG,RSV B1 2,2,6.667,6.821e-05
2025-07-24,Clesrovimab IgG,RSV B1 2,2,1.905,0.0002065
2025-07-24,Clesrovimab IgG,RSV B1 2,2,0.5442,0.0001906
2025-07-24,Clesrovimab IgG,RSV B1 2,2,0.1555,0.0007618
2025-07-24,Clesrovimab IgG,RSV B1 2,2,0.04443,0.01053
2025-07-24,Clesrovimab IgG,RSV B1 2,2,0.01269,0.14
2025-07-24,Clesrovimab IgG,RSV B1 2,2,0.003627,0.3156
2025-07-24,Clesrovimab IgG,RSV B1 2,2,0.001036,0.7337
2025-07-24,Clesrovimab IgG,RSV B1 2,2,0.0002961,0.863
2025-07-24,Clesrovimab Fab,RSV B1 2,1,500,0.0001187
2025-07-24,Clesrovimab Fab,RSV B1 2,1,100,0.0004406
2025-07-24,Clesrovimab Fab,RSV B1 2,1,20,0.000642
2025-07-24,Clesrovimab Fab,RSV B1 2,1,4,0.001076
2025-07-24,Clesrovimab Fab,RSV B1 2,1,0.8,0.007172
2025-07-24,Clesrovimab Fab,RSV B1 2,1,0.16,0.06909
2025-07-24,Clesrovimab Fab,RSV B1 2,1,0.032,0.6316
2025-07-24,Clesrovimab Fab,RSV B1 2,1,0.0064,0.8772
2025-07-24,Clesrovimab Fab,RSV B1 2,1,0.00128,1.04
2025-07-24,Clesrovimab Fab,RSV B1 2,2,500,0.005929
2025-07-24,Clesrovimab Fab,RSV B1 2,2,100,0.0003776
2025-07-24,Clesrovimab Fab,RSV B1 2,2,20,0.001192
2025-07-24,Clesrovimab Fab,RSV B1 2,2,4,0.002381
2025-07-24,Clesrovimab Fab,RSV B1 2,2,0.8,0.004047
2025-07-24,Clesrovimab Fab,RSV B1 2,2,0.16,0.07385
2025-07-24,Clesrovimab Fab,RSV B1 2,2,0.032,0.4925
2025-07-24,Clesrovimab Fab,RSV B1 2,2,0.0064,1.002
2025-07-24,Clesrovimab Fab,RSV B1 2,2,0.00128,0.9725
2025-07-24,Clesrovimab IgG,RSV A2020 2,1,6.667,0.0001415
2025-07-24,Clesrovimab IgG,RSV A2020 2,1,1.905,0.0002515
2025-07-24,Clesrovimab IgG,RSV A2020 2,1,0.5442,0.0002858
2025-07-24,Clesrovimab IgG,RSV A2020 2,1,0.1555,0.006097
2025-07-24,Clesrovimab IgG,RSV A2020 2,1,0.04443,0.0631
2025-07-24,Clesrovimab IgG,RSV A2020 2,1,0.01269,0.3293
2025-07-24,Clesrovimab IgG,RSV A2020 2,1,0.003627,0.7768
2025-07-24,Clesrovimab IgG,RSV A2020 2,1,0.001036,0.7654
2025-07-24,Clesrovimab IgG,RSV A2020 2,1,0.0002961,0.8393
2025-07-24,Clesrovimab IgG,RSV A2020 2,2,6.667,0.000121
2025-07-24,Clesrovimab IgG,RSV A2020 2,2,1.905,0.0002496
2025-07-24,Clesrovimab IgG,RSV A2020 2,2,0.5442,0.001509
2025-07-24,Clesrovimab IgG,RSV A2020 2,2,0.1555,0.00656
2025-07-24,Clesrovimab IgG,RSV A2020 2,2,0.04443,0.06793
2025-07-24,Clesrovimab IgG,RSV A2020 2,2,0.01269,0.3572
2025-07-24,Clesrovimab IgG,RSV A2020 2,2,0.003627,0.7468
2025-07-24,Clesrovimab IgG,RSV A2020 2,2,0.001036,0.8731
2025-07-24,Clesrovimab IgG,RSV A2020 2,2,0.0002961,1.03
2025-07-24,Clesrovimab Fab,RSV A2020 2,1,500,0.0003185
2025-07-24,Clesrovimab Fab,RSV A2020 2,1,100,0.001322
2025-07-24,Clesrovimab Fab,RSV A2020 2,1,20,0.0009477
2025-07-24,Clesrovimab Fab,RSV A2020 2,1,4,0.0005317
2025-07-24,Clesrovimab Fab,RSV A2020 2,1,0.8,0.004572
2025-07-24,Clesrovimab Fab,RSV A2020 2,1,0.16,0.03833
2025-07-24,Clesrovimab Fab,RSV A2020 2,1,0.032,0.3936
2025-07-24,Clesrovimab Fab,RSV A2020 2,1,0.0064,0.8826
2025-07-24,Clesrovimab Fab,RSV A2020 2,1,0.00128,0.9437
2025-07-24,Clesrovimab Fab,RSV A2020 2,2,500,0.0005587
2025-07-24,Clesrovimab Fab,RSV A2020 2,2,100,0.001241
2025-07-24,Clesrovimab Fab,RSV A2020 2,2,20,0.0003374
2025-07-24,Clesrovimab Fab,RSV A2020 2,2,4,0.0003631
2025-07-24,Clesrovimab Fab,RSV A2020 2,2,0.8,0.0008157
2025-07-24,Clesrovimab Fab,RSV A2020 2,2,0.16,0.04056
2025-07-24,Clesrovimab Fab,RSV A2020 2,2,0.032,0.3951
2025-07-24,Clesrovimab Fab,RSV A2020 2,2,0.0064,0.8658
2025-07-24,Clesrovimab Fab,RSV A2020 2,2,0.00128,1.072
2025-07-24,Clesrovimab IgG,RSV B2024 2,1,6.667,0.01745
2025-07-24,Clesrovimab IgG,RSV B2024 2,1,1.905,0.01323
2025-07-24,Clesrovimab IgG,RSV B2024 2,1,0.5442,0.01075
2025-07-24,Clesrovimab IgG,RSV B2024 2,1,0.1555,0.01739
2025-07-24,Clesrovimab IgG,RSV B2024 2,1,0.04443,0.08737
2025-07-24,Clesrovimab IgG,RSV B2024 2,1,0.01269,0.4538
2025-07-24,Clesrovimab IgG,RSV B2024 2,1,0.003627,0.7264
2025-07-24,Clesrovimab IgG,RSV B2024 2,1,0.001036,0.8168
2025-07-24,Clesrovimab IgG,RSV B2024 2,1,0.0002961,0.9552
2025-07-24,Clesrovimab IgG,RSV B2024 2,2,6.667,0.01254
2025-07-24,Clesrovimab IgG,RSV B2024 2,2,1.905,0.01721
2025-07-24,Clesrovimab IgG,RSV B2024 2,2,0.5442,0.008773
2025-07-24,Clesrovimab IgG,RSV B2024 2,2,0.1555,0.03985
2025-07-24,Clesrovimab IgG,RSV B2024 2,2,0.04443,0.101
2025-07-24,Clesrovimab IgG,RSV B2024 2,2,0.01269,0.4191
2025-07-24,Clesrovimab IgG,RSV B2024 2,2,0.003627,0.7381
2025-07-24,Clesrovimab IgG,RSV B2024 2,2,0.001036,1.168
2025-07-24,Clesrovimab IgG,RSV B2024 2,2,0.0002961,1.048
2025-07-24,Clesrovimab Fab,RSV B2024 2,1,500,0.01556
2025-07-24,Clesrovimab Fab,RSV B2024 2,1,100,0.01244
2025-07-24,Clesrovimab Fab,RSV B2024 2,1,20,0.01561
2025-07-24,Clesrovimab Fab,RSV B2024 2,1,4,0.01685
2025-07-24,Clesrovimab Fab,RSV B2024 2,1,0.8,0.04335
2025-07-24,Clesrovimab Fab,RSV B2024 2,1,0.16,0.3384
2025-07-24,Clesrovimab Fab,RSV B2024 2,1,0.032,0.7667
2025-07-24,Clesrovimab Fab,RSV B2024 2,1,0.0064,0.9689
2025-07-24,Clesrovimab Fab,RSV B2024 2,1,0.00128,1.202
2025-07-24,Clesrovimab Fab,RSV B2024 2,2,500,0.007925
2025-07-24,Clesrovimab Fab,RSV B2024 2,2,100,0.01078
2025-07-24,Clesrovimab Fab,RSV B2024 2,2,20,0.007573
2025-07-24,Clesrovimab Fab,RSV B2024 2,2,4,0.01376
2025-07-24,Clesrovimab Fab,RSV B2024 2,2,0.8,0.04043
2025-07-24,Clesrovimab Fab,RSV B2024 2,2,0.16,0.2573
2025-07-24,Clesrovimab Fab,RSV B2024 2,2,0.032,0.6582
2025-07-24,Clesrovimab Fab,RSV B2024 2,2,0.0064,1.237
2025-07-24,Clesrovimab Fab,RSV B2024 2,2,0.00128,1.073
2025-07-24,Suptavumab IgG,RSV Long 3,1,6.667,4.656e-05
2025-07-24,Suptavumab IgG,RSV Long 3,1,1.905,8.739e-05
2025-07-24,Suptavumab IgG,RSV Long 3,1,0.5442,0.0001494
2025-07-24,Suptavumab IgG,RSV Long 3,1,0.1555,0.0004022
2025-07-24,Suptavumab IgG,RSV Long 3,1,0.04443,0.01654
2025-07-24,Suptavumab IgG,RSV Long 3,1,0.01269,0.192
2025-07-24,Suptavumab IgG,RSV Long 3,1,0.003627,0.6603
2025-07-24,Suptavumab IgG,RSV Long 3,1,0.001036,0.7293
2025-07-24,Suptavumab IgG,RSV Long 3,1,0.0002961,1.071
2025-07-24,Suptavumab IgG,RSV Long 3,2,6.667,4.268e-05
2025-07-24,Suptavumab IgG,RSV Long 3,2,1.905,5.099e-05
2025-07-24,Suptavumab IgG,RSV Long 3,2,0.5442,0.0001861
2025-07-24,Suptavumab IgG,RSV Long 3,2,0.1555,0.01203
2025-07-24,Suptavumab IgG,RSV Long 3,2,0.04443,0.02498
2025-07-24,Suptavumab IgG,RSV Long 3,2,0.01269,0.3321
2025-07-24,Suptavumab IgG,RSV Long 3,2,0.003627,0.4115
2025-07-24,Suptavumab IgG,RSV Long 3,2,0.001036,0.9254
2025-07-24,Suptavumab IgG,RSV Long 3,2,0.0002961,0.9611
2025-07-24,Suptavumab Fab,RSV Long 3,1,500,0.0004338
2025-07-24,Suptavumab Fab,RSV Long 3,1,100,0.0001156
2025-07-24,Suptavumab Fab,RSV Long 3,1,20,0.0004118
2025-07-24,Suptavumab Fab,RSV Long 3,1,4,0.0001755
2025-07-24,Suptavumab Fab,RSV Long 3,1,0.8,0.0004839
2025-07-24,Suptavumab Fab,RSV Long 3,1,0.16,0.02744
2025-07-24,Suptavumab Fab,RSV Long 3,1,0.032,0.439
2025-07-24,Suptavumab Fab,RSV Long 3,1,0.0064,0.7335
2025-07-24,Suptavumab Fab,RSV Long 3,1,0.00128,0.9618
2025-07-24,Suptavumab Fab,RSV Long 3,2,500,0.000109
2025-07-24,Suptavumab Fab,RSV Long 3,2,100,9.925e-05
2025-07-24,Suptavumab Fab,RSV Long 3,2,20,0.0001533
2025-07-24,Suptavumab Fab,RSV Long 3,2,4,0.0002277
2025-07-24,Suptavumab Fab,RSV Long 3,2,0.8,0.0003421
2025-07-24,Suptavumab Fab,RSV Long 3,2,0.16,0.01829
2025-07-24,Suptavumab Fab,RSV Long 3,2,0.032,0.5136
2025-07-24,Suptavumab Fab,RSV Long 3,2,0.0064,0.9252
2025-07-24,Suptavumab Fab,RSV Long 3,2,0.00128,1.197
2025-07-24,Suptavumab IgG,RSV B1 3,1,6.667,8.033e-05
2025-07-24,Suptavumab IgG,RSV B1 3,1,1.905,0.0001215
2025-07-24,Suptavumab IgG,RSV B1 3,1,0.5442,0.0002801
2025-07-24,Suptavumab IgG,RSV B1 3,1,0.1555,0.01469
2025-07-24,Suptavumab IgG,RSV B1 3,1,0.04443,0.2101
2025-07-24,Suptavumab IgG,RSV B1 3,1,0.01269,0.5206
2025-07-24,Suptavumab IgG,RSV B1 3,1,0.003627,0.7209
2025-07-24,Suptavumab IgG,RSV B1 3,1,0.001036,0.7899
2025-07-24,Suptavumab IgG,RSV B1 3,1,0.0002961,0.8543
2025-07-24,Suptavumab IgG,RSV B1 3,2,6.667,6.697e-05
2025-07-24,Suptavumab IgG,RSV B1 3,2,1.905,0.0001195
2025-07-24,Suptavumab IgG,RSV B1 3,2,0.5442,0.0005627
2025-07-24,Suptavumab IgG,RSV B1 3,2,0.1555,0.01818
2025-07-24,Suptavumab IgG,RSV B1 3,2,0.04443,0.1766
2025-07-24,Suptavumab IgG,RSV B1 3,2,0.01269,0.5557
2025-07-24,Suptavumab IgG,RSV B1 3,2,0.003627,0.861
2025-07-24,Suptavumab IgG,RSV B1 3,2,0.001036,0.8871
2025-07-24,Suptavumab IgG,RSV B1 3,2,0.0002961,1.005
2025-07-24,Suptavumab Fab,RSV B1 3,1,500,0.0001088
2025-07-24,Suptavumab Fab,RSV B1 3,1,100,0.0001546
2025-07-24,Suptavumab Fab,RSV B1 3,1,20,0.0003866
2025-07-24,Suptavumab Fab,RSV B1 3,1,4,0.01205
2025-07-24,Suptavumab Fab,RSV B1 3,1,0.8,0.4389
2025-07-24,Suptavumab Fab,RSV B1 3,1,0.16,0.785
2025-07-24,Suptavumab Fab,RSV B1 3,1,0.032,0.8962
2025-07-24,Suptavumab Fab,RSV B1 3,1,0.0064,1.072
2025-07-24,Suptavumab Fab,RSV B1 3,1,0.00128,1.017
2025-07-24,Suptavumab Fab,RSV B1 3,2,500,0.0001672
2025-07-24,Suptavumab Fab,RSV B1 3,2,100,0.0004312
2025-07-24,Suptavumab Fab,RSV B1 3,2,20,0.0003212
2025-07-24,Suptavumab Fab,RSV B1 3,2,4,0.01161
2025-07-24,Suptavumab Fab,RSV B1 3,2,0.8,0.5172
2025-07-24,Suptavumab Fab,RSV B1 3,2,0.16,1.093
2025-07-24,Suptavumab Fab,RSV B1 3,2,0.032,1.134
2025-07-24,Suptavumab Fab,RSV B1 3,2,0.0064,0.9212
2025-07-24,Suptavumab Fab,RSV B1 3,2,0.00128,1.07
2025-07-24,Suptavumab IgG,RSV A2020 3,1,6.667,0.00175
2025-07-24,Suptavumab IgG,RSV A2020 3,1,1.905,0.0002743
2025-07-24,Suptavumab IgG,RSV A2020 3,1,0.5442,0.0009943
2025-07-24,Suptavumab IgG,RSV A2020 3,1,0.1555,0.06168
2025-07-24,Suptavumab IgG,RSV A2020 3,1,0.04443,0.2943
2025-07-24,Suptavumab IgG,RSV A2020 3,1,0.01269,0.6671
2025-07-24,Suptavumab IgG,RSV A2020 3,1,0.003627,0.9065
2025-07-24,Suptavumab IgG,RSV A2020 3,1,0.001036,0.8535
2025-07-24,Suptavumab IgG,RSV A2020 3,1,0.0002961,0.8876
2025-07-24,Suptavumab IgG,RSV A2020 3,2,6.667,0.0001584
2025-07-24,Suptavumab IgG,RSV A2020 3,2,1.905,0.0005949
